Control Area,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO,NYISO
ZoneID,28,29,30,31,32,33,34,35,36,37,38
Zone,ZONE A,ZONE B,ZONE C,ZONE D,ZONE E,ZONE F,ZONE G,ZONE H,ZONE I,ZONE J,ZONE K
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
11/1/2025,$23.03 ,$20.94 ,$24.49 ,$24.58 ,$26.70 ,$54.46 ,$51.55 ,$52.64 ,$53.00 ,$54.53 ,$65.62 
12/1/2025,$39.36 ,$37.49 ,$41.37 ,$41.95 ,$36.89 ,$83.75 ,$82.06 ,$79.83 ,$77.96 ,$85.30 ,$83.07 
1/1/2026,$67.39 ,$76.29 ,$77.75 ,$71.63 ,$57.12 ,$123.57 ,$120.19 ,$115.17 ,$120.39 ,$131.52 ,$133.16 
2/1/2026,$61.62 ,$66.50 ,$67.60 ,$59.11 ,$50.47 ,$115.95 ,$108.14 ,$110.33 ,$111.16 ,$119.69 ,$116.42 
3/1/2026,$37.81 ,$38.91 ,$40.32 ,$40.71 ,$35.20 ,$56.94 ,$58.88 ,$58.10 ,$57.09 ,$63.67 ,$64.94 
4/1/2026,$33.30 ,$32.59 ,$33.02 ,$31.03 ,$33.50 ,$46.16 ,$46.26 ,$46.52 ,$46.60 ,$51.28 ,$53.83 
5/1/2026,$24.10 ,$27.36 ,$28.26 ,$29.19 ,$30.32 ,$44.46 ,$43.42 ,$43.78 ,$44.64 ,$45.68 ,$49.98 
6/1/2026,$33.24 ,$31.51 ,$30.59 ,$33.56 ,$34.57 ,$47.33 ,$47.47 ,$48.01 ,$48.99 ,$55.46 ,$59.89 
7/1/2026,$51.38 ,$50.79 ,$48.18 ,$48.20 ,$52.49 ,$61.48 ,$63.77 ,$64.29 ,$64.89 ,$71.14 ,$78.72 
8/1/2026,$45.01 ,$41.60 ,$40.98 ,$39.65 ,$44.82 ,$50.55 ,$52.31 ,$52.88 ,$53.59 ,$58.63 ,$59.72 
