Zone ID,Load Zone,Month,Total Cost per MWh,,,
4001,MAINE,10/1/2016,2.13,,,
4001,MAINE,11/1/2016,2.13,,,
4001,MAINE,12/1/2016,2.13,,,
4001,MAINE,1/1/2017,1.85,,,
4001,MAINE,2/1/2017,1.85,,,
4001,MAINE,3/1/2017,1.85,,,
4001,MAINE,4/1/2017,1.85,,,
4001,MAINE,5/1/2017,1.85,,,
4001,MAINE,6/1/2017,1.85,,,
4001,MAINE,7/1/2017,1.85,,,
4001,MAINE,8/1/2017,1.85,,,
4001,MAINE,9/1/2017,1.85,,,
4001,MAINE,10/1/2017,1.85,,,
4001,MAINE,11/1/2017,1.85,,,
4001,MAINE,12/1/2017,1.85,,,
4001,MAINE,1/1/2018,1.85,,,
4001,MAINE,2/1/2018,1.85,,,
4001,MAINE,3/1/2018,1.85,,,
4001,MAINE,4/1/2018,1.85,,,
4001,MAINE,5/1/2018,1.85,,,
4001,MAINE,6/1/2018,1.85,,,
4001,MAINE,7/1/2018,1.85,,,
4001,MAINE,8/1/2018,1.85,,,
4001,MAINE,9/1/2018,1.85,,,
4001,MAINE,10/1/2018,1.85,,,
4001,MAINE,11/1/2018,1.85,,,
4001,MAINE,12/1/2018,1.85,,,
4001,MAINE,1/1/2019,1.85,,,
4001,MAINE,2/1/2019,1.85,,,
4001,MAINE,3/1/2019,1.85,,,
4001,MAINE,4/1/2019,1.85,,,
4001,MAINE,5/1/2019,1.85,,,
4001,MAINE,6/1/2019,1.85,,,
4001,MAINE,7/1/2019,1.85,,,
4001,MAINE,8/1/2019,1.85,,,
4001,MAINE,9/1/2019,1.85,,,
4001,MAINE,10/1/2019,1.85,,,
4001,MAINE,11/1/2019,1.85,,,
4001,MAINE,12/1/2019,1.85,,,
4001,MAINE,1/1/2020,3.381,,,
4001,MAINE,2/1/2020,3.381,,,
4001,MAINE,3/1/2020,3.381,,,
4001,MAINE,4/1/2020,3.381,,,
4001,MAINE,5/1/2020,3.381,,,
4001,MAINE,6/1/2020,3.381,,,
4001,MAINE,7/1/2020,3.381,,,
4001,MAINE,8/1/2020,3.381,,,
4001,MAINE,9/1/2020,3.381,,,
4001,MAINE,10/1/2020,3.381,,,
4001,MAINE,11/1/2020,3.381,,,
4001,MAINE,12/1/2020,3.381,,,
4001,MAINE,1/1/2021,4.687,,,
4001,MAINE,2/1/2021,4.687,,,
4001,MAINE,3/1/2021,4.687,,,
4001,MAINE,4/1/2021,4.687,,,
4001,MAINE,5/1/2021,4.687,,,
4001,MAINE,6/1/2021,4.687,,,
4001,MAINE,7/1/2021,4.687,,,
4001,MAINE,8/1/2021,4.687,,,
4001,MAINE,9/1/2021,4.687,,,
4001,MAINE,10/1/2021,4.687,,,
4001,MAINE,11/1/2021,4.687,,,
4001,MAINE,12/1/2021,4.687,,,
4001,MAINE,1/1/2022,10.675,,,
4001,MAINE,2/1/2022,10.675,,,
4001,MAINE,3/1/2022,10.675,,,
4001,MAINE,4/1/2022,10.675,,,
4001,MAINE,5/1/2022,10.675,,,
4001,MAINE,6/1/2022,10.675,,,
4001,MAINE,7/1/2022,10.675,,,
4001,MAINE,8/1/2022,10.675,,,
4001,MAINE,9/1/2022,10.675,,,
