Control Area,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM,PJM
ZoneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,47,48,49,51
Zone,AECO,AEP,APS,ATSI,BGE,COMED,DAY,DEOK,DOM,DPL,DUQ,JCPL,METED,PECO,PENELEC,PEPCO,PPL,PSEG,RECO,WEST HUB,AD HUB,NI HUB,EAST HUB
Month,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE,FWD CURVE
5/1/2024,$41.20 ,$49.28 ,$46.26 ,$49.70 ,$57.41 ,$44.95 ,$48.48 ,$50.09 ,$54.98 ,$45.25 ,$50.59 ,$38.30 ,$45.95 ,$35.68 ,$46.39 ,$56.39 ,$44.04 ,$38.37 ,$45.16 ,$48.25 ,$48.36 ,$43.59 ,$47.24 
6/1/2024,$46.77 ,$52.70 ,$53.07 ,$53.53 ,$63.15 ,$48.27 ,$52.32 ,$54.59 ,$58.25 ,$50.15 ,$53.03 ,$42.99 ,$49.25 ,$39.80 ,$49.62 ,$60.04 ,$46.23 ,$44.34 ,$48.33 ,$52.68 ,$51.98 ,$47.35 ,$51.62 
7/1/2024,$63.66 ,$69.30 ,$68.38 ,$70.59 ,$81.09 ,$66.73 ,$68.71 ,$70.23 ,$76.17 ,$69.31 ,$68.41 ,$59.38 ,$67.79 ,$55.89 ,$65.29 ,$79.44 ,$62.43 ,$56.42 ,$61.39 ,$69.65 ,$68.75 ,$66.55 ,$72.45 
8/1/2024,$60.61 ,$64.87 ,$64.30 ,$66.16 ,$76.29 ,$62.03 ,$63.48 ,$65.18 ,$71.38 ,$65.09 ,$63.13 ,$56.37 ,$63.75 ,$52.36 ,$61.56 ,$74.67 ,$59.28 ,$52.86 ,$57.79 ,$65.55 ,$64.10 ,$61.90 ,$68.15 
9/1/2024,$43.21 ,$50.49 ,$50.67 ,$51.27 ,$61.59 ,$45.23 ,$49.82 ,$51.53 ,$57.09 ,$48.71 ,$50.26 ,$40.18 ,$46.98 ,$37.38 ,$47.68 ,$59.67 ,$42.61 ,$42.25 ,$46.27 ,$50.95 ,$49.70 ,$43.70 ,$49.70 
10/1/2024,$42.25 ,$48.49 ,$49.28 ,$48.35 ,$58.60 ,$42.65 ,$48.08 ,$48.45 ,$55.70 ,$47.79 ,$48.19 ,$40.10 ,$44.10 ,$37.13 ,$47.53 ,$57.65 ,$41.76 ,$37.18 ,$41.52 ,$49.19 ,$47.19 ,$41.10 ,$47.85 
11/1/2024,$43.69 ,$46.87 ,$48.66 ,$47.11 ,$57.74 ,$41.63 ,$47.89 ,$47.13 ,$54.97 ,$47.56 ,$47.00 ,$41.10 ,$46.01 ,$37.66 ,$47.42 ,$58.01 ,$41.96 ,$43.22 ,$45.42 ,$49.50 ,$46.25 ,$40.55 ,$47.75 
12/1/2024,$64.04 ,$62.46 ,$64.97 ,$63.11 ,$74.91 ,$56.30 ,$63.64 ,$62.61 ,$71.87 ,$67.37 ,$61.98 ,$59.68 ,$65.92 ,$56.04 ,$63.62 ,$75.47 ,$61.99 ,$64.03 ,$66.81 ,$66.25 ,$61.75 ,$55.75 ,$68.10 
1/1/2025,$92.07 ,$79.19 ,$93.09 ,$79.17 ,$109.05 ,$69.36 ,$94.48 ,$80.52 ,$99.63 ,$95.18 ,$76.50 ,$91.89 ,$97.45 ,$81.64 ,$88.68 ,$100.60 ,$93.11 ,$91.32 ,$96.53 ,$94.20 ,$78.60 ,$69.70 ,$100.75 
2/1/2025,$86.16 ,$73.10 ,$88.60 ,$73.82 ,$103.98 ,$65.27 ,$88.73 ,$75.54 ,$94.23 ,$90.60 ,$73.33 ,$87.21 ,$92.77 ,$77.88 ,$84.18 ,$95.84 ,$88.93 ,$86.59 ,$90.03 ,$90.15 ,$73.95 ,$66.15 ,$95.40 
3/1/2025,$49.51 ,$50.07 ,$54.18 ,$51.72 ,$65.27 ,$44.74 ,$53.95 ,$52.25 ,$57.66 ,$52.75 ,$50.97 ,$49.14 ,$52.77 ,$45.18 ,$50.96 ,$59.21 ,$50.18 ,$49.63 ,$52.85 ,$54.60 ,$49.85 ,$43.55 ,$53.90 
4/1/2025,$43.21 ,$47.30 ,$50.37 ,$48.62 ,$59.86 ,$43.42 ,$49.94 ,$49.84 ,$53.14 ,$47.21 ,$48.91 ,$44.75 ,$47.00 ,$41.40 ,$47.76 ,$54.40 ,$44.50 ,$43.39 ,$46.89 ,$50.15 ,$47.25 ,$45.10 ,$48.80 
5/1/2025,$44.47 ,$49.02 ,$51.66 ,$50.44 ,$60.81 ,$45.46 ,$51.97 ,$51.83 ,$55.38 ,$48.01 ,$51.33 ,$44.56 ,$48.71 ,$41.44 ,$47.79 ,$56.29 ,$45.80 ,$44.13 ,$48.42 ,$51.15 ,$48.85 ,$45.10 ,$50.00 
6/1/2025,$49.30 ,$52.17 ,$53.80 ,$53.50 ,$63.87 ,$47.57 ,$54.54 ,$56.06 ,$57.47 ,$53.69 ,$53.00 ,$47.77 ,$50.53 ,$43.59 ,$50.34 ,$57.26 ,$49.77 ,$46.37 ,$51.11 ,$53.40 ,$52.20 ,$47.15 ,$52.90 
7/1/2025,$65.01 ,$66.30 ,$68.28 ,$67.59 ,$80.49 ,$61.68 ,$68.21 ,$69.73 ,$72.57 ,$72.41 ,$67.91 ,$61.98 ,$66.89 ,$57.49 ,$64.69 ,$71.84 ,$64.78 ,$60.52 ,$65.99 ,$68.05 ,$67.00 ,$61.00 ,$70.55 
8/1/2025,$62.71 ,$63.27 ,$64.30 ,$64.56 ,$76.37 ,$58.33 ,$64.38 ,$66.08 ,$68.38 ,$68.69 ,$64.03 ,$58.97 ,$63.35 ,$54.46 ,$61.56 ,$67.67 ,$60.88 ,$57.71 ,$62.89 ,$64.55 ,$63.75 ,$57.70 ,$66.75 
9/1/2025,$46.31 ,$50.59 ,$52.07 ,$51.87 ,$62.49 ,$45.13 ,$53.17 ,$53.63 ,$55.99 ,$52.06 ,$52.86 ,$44.53 ,$48.08 ,$40.98 ,$48.83 ,$55.57 ,$47.46 ,$44.10 ,$48.37 ,$51.35 ,$50.80 ,$44.60 ,$50.80 
10/1/2025,$42.25 ,$47.05 ,$48.59 ,$47.92 ,$57.91 ,$40.05 ,$48.65 ,$49.01 ,$53.01 ,$47.79 ,$47.75 ,$41.60 ,$43.10 ,$38.13 ,$45.84 ,$51.46 ,$42.01 ,$40.43 ,$43.48 ,$48.00 ,$46.75 ,$39.50 ,$46.85 
11/1/2025,$46.39 ,$48.72 ,$50.61 ,$49.96 ,$61.19 ,$42.48 ,$50.74 ,$50.98 ,$53.92 ,$51.76 ,$49.85 ,$45.80 ,$46.71 ,$41.36 ,$48.37 ,$52.46 ,$44.91 ,$43.42 ,$46.62 ,$50.95 ,$49.10 ,$42.40 ,$49.45 
12/1/2025,$64.39 ,$60.71 ,$63.57 ,$62.36 ,$75.01 ,$53.00 ,$63.89 ,$62.86 ,$67.47 ,$68.22 ,$61.23 ,$62.53 ,$62.77 ,$57.39 ,$62.22 ,$66.57 ,$62.34 ,$59.88 ,$63.91 ,$64.85 ,$61.50 ,$52.95 ,$65.95 
1/1/2026,$93.47 ,$82.99 ,$91.14 ,$83.97 ,$95.60 ,$71.41 ,$92.28 ,$84.32 ,$90.68 ,$100.08 ,$83.30 ,$91.79 ,$94.35 ,$91.54 ,$88.73 ,$93.40 ,$89.01 ,$92.72 ,$95.68 ,$91.75 ,$82.90 ,$71.25 ,$98.15 
2/1/2026,$87.46 ,$78.25 ,$86.05 ,$78.47 ,$90.43 ,$68.07 ,$87.38 ,$77.69 ,$85.18 ,$94.40 ,$77.98 ,$87.26 ,$90.07 ,$86.68 ,$85.13 ,$88.54 ,$84.23 ,$87.39 ,$89.83 ,$87.60 ,$78.10 ,$67.45 ,$92.70 
3/1/2026,$54.86 ,$52.47 ,$57.38 ,$54.12 ,$60.97 ,$46.29 ,$57.35 ,$53.15 ,$56.86 ,$58.60 ,$53.37 ,$53.99 ,$56.12 ,$53.53 ,$55.16 ,$59.41 ,$52.53 ,$54.48 ,$56.20 ,$57.80 ,$52.25 ,$45.60 ,$57.25 
4/1/2026,$47.76 ,$49.60 ,$52.87 ,$50.92 ,$55.42 ,$44.02 ,$51.74 ,$50.64 ,$51.64 ,$52.76 ,$51.21 ,$47.80 ,$49.55 ,$47.95 ,$51.26 ,$54.40 ,$47.05 ,$48.44 ,$50.94 ,$52.65 ,$49.55 ,$43.45 ,$51.35 
5/1/2026,$47.97 ,$49.87 ,$53.06 ,$51.29 ,$56.21 ,$44.16 ,$52.32 ,$51.18 ,$52.78 ,$52.51 ,$52.18 ,$47.56 ,$50.21 ,$47.94 ,$50.19 ,$54.69 ,$47.30 ,$48.38 ,$50.92 ,$52.55 ,$49.70 ,$43.55 ,$51.50 
6/1/2026,$46.85 ,$49.52 ,$52.30 ,$50.85 ,$56.37 ,$44.27 ,$52.39 ,$51.91 ,$51.97 ,$52.74 ,$50.85 ,$47.82 ,$49.08 ,$48.64 ,$50.84 ,$54.51 ,$47.07 ,$48.42 ,$50.66 ,$51.90 ,$49.55 ,$43.60 ,$51.45 
7/1/2026,$63.31 ,$64.20 ,$67.43 ,$65.49 ,$71.14 ,$58.38 ,$66.61 ,$66.13 ,$66.72 ,$71.21 ,$65.81 ,$63.78 ,$66.19 ,$65.29 ,$65.84 ,$69.99 ,$63.08 ,$63.82 ,$66.29 ,$67.70 ,$64.40 ,$58.70 ,$69.85 
8/1/2026,$60.61 ,$60.37 ,$63.05 ,$61.66 ,$66.54 ,$54.23 ,$61.98 ,$61.68 ,$62.13 ,$67.09 ,$61.13 ,$60.37 ,$62.25 ,$60.86 ,$62.31 ,$65.92 ,$58.53 ,$59.86 ,$62.79 ,$63.80 ,$60.35 ,$54.60 ,$65.65 
9/1/2026,$47.61 ,$51.29 ,$53.42 ,$52.07 ,$57.34 ,$45.13 ,$53.37 ,$52.83 ,$53.34 ,$53.36 ,$53.06 ,$46.83 ,$49.38 ,$47.28 ,$51.18 ,$56.42 ,$48.01 ,$47.65 ,$50.67 ,$53.20 ,$50.75 ,$44.85 ,$52.10 
10/1/2026,$45.45 ,$49.60 ,$51.74 ,$49.97 ,$55.06 ,$42.75 ,$50.70 ,$50.06 ,$52.16 ,$50.99 ,$49.80 ,$44.30 ,$46.30 ,$45.33 ,$49.99 ,$54.61 ,$44.46 ,$46.88 ,$47.22 ,$51.15 ,$48.80 ,$42.20 ,$50.05 
11/1/2026,$45.34 ,$49.32 ,$51.41 ,$50.06 ,$53.49 ,$43.03 ,$50.84 ,$50.08 ,$50.72 ,$52.21 ,$49.95 ,$46.25 ,$47.66 ,$47.31 ,$50.17 ,$53.26 ,$45.61 ,$47.87 ,$48.07 ,$51.75 ,$48.70 ,$42.95 ,$50.40 
12/1/2026,$54.79 ,$52.76 ,$56.17 ,$53.91 ,$59.11 ,$45.60 ,$56.44 ,$53.41 ,$56.07 ,$60.12 ,$52.78 ,$54.43 ,$55.17 ,$55.29 ,$55.82 ,$59.17 ,$54.49 ,$56.78 ,$57.06 ,$56.95 ,$52.55 ,$45.55 ,$58.35 
1/1/2027,$90.07 ,$79.49 ,$87.44 ,$80.47 ,$88.90 ,$68.06 ,$87.28 ,$80.32 ,$87.98 ,$95.68 ,$79.80 ,$87.39 ,$89.45 ,$90.64 ,$86.03 ,$90.95 ,$87.11 ,$89.82 ,$93.53 ,$87.55 ,$77.90 ,$67.90 ,$93.75 
2/1/2027,$83.01 ,$71.95 ,$81.10 ,$73.17 ,$81.98 ,$62.77 ,$81.08 ,$72.39 ,$79.73 ,$88.95 ,$72.68 ,$81.31 ,$84.62 ,$84.23 ,$80.68 ,$84.34 ,$81.28 ,$83.94 ,$85.88 ,$81.65 ,$71.80 ,$62.65 ,$87.25 
3/1/2027,$58.51 ,$56.17 ,$60.13 ,$57.32 ,$61.22 ,$48.64 ,$60.55 ,$56.35 ,$59.61 ,$62.75 ,$57.57 ,$56.89 ,$58.77 ,$59.18 ,$58.91 ,$62.66 ,$57.18 ,$59.13 ,$60.85 ,$60.05 ,$55.45 ,$48.45 ,$60.90 
4/1/2027,$48.91 ,$51.00 ,$53.57 ,$51.82 ,$53.56 ,$44.37 ,$53.64 ,$51.54 ,$52.34 ,$54.41 ,$53.11 ,$47.70 ,$49.70 ,$50.35 ,$52.96 ,$55.10 ,$48.95 ,$50.09 ,$52.09 ,$53.35 ,$50.45 ,$44.30 ,$52.50 
5/1/2027,$48.82 ,$50.97 ,$53.56 ,$51.89 ,$54.21 ,$44.26 ,$52.92 ,$51.78 ,$53.28 ,$53.86 ,$53.78 ,$47.66 ,$50.06 ,$49.04 ,$51.69 ,$56.19 ,$48.90 ,$49.48 ,$51.77 ,$53.05 ,$50.30 ,$44.15 ,$52.35 
6/1/2027,$47.05 ,$49.87 ,$52.10 ,$50.70 ,$53.67 ,$43.72 ,$52.24 ,$51.76 ,$51.77 ,$53.44 ,$51.20 ,$45.27 ,$48.28 ,$48.09 ,$50.64 ,$54.06 ,$47.52 ,$48.62 ,$50.86 ,$51.70 ,$49.40 ,$43.55 ,$51.65 
7/1/2027,$61.56 ,$62.20 ,$64.98 ,$63.49 ,$66.69 ,$55.68 ,$64.61 ,$64.13 ,$64.27 ,$69.96 ,$64.81 ,$59.78 ,$63.44 ,$62.79 ,$63.39 ,$68.04 ,$60.58 ,$62.57 ,$64.54 ,$64.75 ,$61.90 ,$56.00 ,$68.10 
