Zone ID,Ancillary,Load Zone,Month,Price,Billing Determinant,,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2016,0.28,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2017,0.32,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,6/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,7/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,8/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,9/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,10/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,11/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,12/1/2018,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,1/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,2/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,3/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,4/1/2019,0.33,RTLO ($/MWh),,,,
4004,ISO Sched 2,CONNECTICUT,5/1/2019,0.33,RTLO ($/MWh),,,,
